act_number,tree_adress,Latitude,Longitude,tree_cut_requester,tree_characteristics,number,date,cutting_act,was_cut,date_number,date_UTF,tree_adress_shorten
"№ 3662
 від 02.04.18",м. Кропивницький вздовж русла річки Інгул (від гідротехнічної споруди КП «Теплоенергетик» до пішохідного мосту по вул. Київській),48.532342818004345,32.240061533484656,ГУ ЖКГ МР МК,клен діам. 15-25 см,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж русла річки Інгул
"№ 3662
 від 02.04.18",м. Кропивницький вздовж русла річки Інгул (від гідротехнічної споруди КП «Теплоенергетик» до пішохідного мосту по вул. Київській),48.524546193855734,32.24929016867337,ГУ ЖКГ МР МК,клен діам. 15-25 см,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж русла річки Інгул
"№ 3662
 від 02.04.18",м. Кропивницький вздовж русла річки Інгул (від гідротехнічної споруди КП «Теплоенергетик» до пішохідного мосту по вул. Київській),48.52310534841413,32.24006618233613,ГУ ЖКГ МР МК,клен діам. 15-25 см,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж русла річки Інгул
"№ 3662
 від 02.04.18",м. Кропивницький вздовж русла річки Інгул (від гідротехнічної споруди КП «Теплоенергетик» до пішохідного мосту по вул. Київській),48.5348437534681,32.25054951350048,ГУ ЖКГ МР МК,клен діам. 15-25 см,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж русла річки Інгул
"№ 3662
 від 02.04.18",м. Кропивницький вздовж русла річки Інгул (від гідротехнічної споруди КП «Теплоенергетик» до пішохідного мосту по вул. Київській),48.524753574241544,32.248755799891946,ГУ ЖКГ МР МК,клен діам. 15-25 см,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж русла річки Інгул
"№ 3662
 від 02.04.18",м. Кропивницький вздовж русла річки Інгул (від гідротехнічної споруди КП «Теплоенергетик» до пішохідного мосту по вул. Київській),48.53354510986279,32.24002737964585,ГУ ЖКГ МР МК,клен діам. 15-25 см,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж русла річки Інгул
"№ 3662
 від 02.04.18",м. Кропивницький вздовж русла річки Інгул (від гідротехнічної споруди КП «Теплоенергетик» до пішохідного мосту по вул. Київській),48.525753287257245,32.23939686191883,ГУ ЖКГ МР МК,клен діам. 15-25 см,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж русла річки Інгул
"№ 3662
 від 02.04.18",м. Кропивницький вздовж русла річки Інгул (від гідротехнічної споруди КП «Теплоенергетик» до пішохідного мосту по вул. Київській),48.52261175397885,32.23981347597908,ГУ ЖКГ МР МК,клен діам. 15-25 см,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж русла річки Інгул
"№ 3662
 від 02.04.18",м. Кропивницький вздовж русла річки Інгул (від гідротехнічної споруди КП «Теплоенергетик» до пішохідного мосту по вул. Київській),48.53257212709124,32.23830371208021,ГУ ЖКГ МР МК,клен діам. 15-25 см,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж русла річки Інгул
"№ 3662
 від 02.04.18",м. Кропивницький вздовж русла річки Інгул (від гідротехнічної споруди КП «Теплоенергетик» до пішохідного мосту по вул. Київській),48.53518554546281,32.25260935096523,ГУ ЖКГ МР МК,клен діам. 15-25 см,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж русла річки Інгул
"№ 3662
 від 02.04.18",м. Кропивницький вздовж русла річки Інгул (від гідротехнічної споруди КП «Теплоенергетик» до пішохідного мосту по вул. Київській),48.52449896752378,32.23919540349778,ГУ ЖКГ МР МК,клен діам. 15-25 см,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж русла річки Інгул
"№ 3662
 від 02.04.18",м. Кропивницький вздовж русла річки Інгул (від гідротехнічної споруди КП «Теплоенергетик» до пішохідного мосту по вул. Київській),48.521820079781776,32.24885705160758,ГУ ЖКГ МР МК,клен діам. 15-25 см,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж русла річки Інгул
"№ 3662
 від 02.04.18",м. Кропивницький вздовж русла річки Інгул (від гідротехнічної споруди КП «Теплоенергетик» до пішохідного мосту по вул. Київській),48.52504582773009,32.24930036555543,ГУ ЖКГ МР МК,клен діам. 15-25 см,1,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький вздовж русла річки Інгул
